state,year,nh_fatalities,nh_injuries,source_as_of_date,citation_anchor,document_section,source_url
Andhra Pradesh,2020,2858.0,7215.0,2020-12-31,rs_session_262_annexure_iv_2020,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Andhra Pradesh,2021,3602.0,8323.0,2021-12-31,rs_session_262_annexure_iv_2021,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Andhra Pradesh,2022,3793.0,8890.0,2022-12-31,rs_session_262_annexure_iv_2022,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Arunachal Pradesh,2020,32.0,83.0,2020-12-31,rs_session_262_annexure_iv_2020,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Arunachal Pradesh,2021,87.0,150.0,2021-12-31,rs_session_262_annexure_iv_2021,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Arunachal Pradesh,2022,73.0,106.0,2022-12-31,rs_session_262_annexure_iv_2022,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Assam,2020,1322.0,2369.0,2020-12-31,rs_session_262_annexure_iv_2020,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Assam,2021,1574.0,2631.0,2021-12-31,rs_session_262_annexure_iv_2021,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Assam,2022,1428.0,2541.0,2022-12-31,rs_session_262_annexure_iv_2022,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Bihar,2020,3285.0,3540.0,2020-12-31,rs_session_262_annexure_iv_2020,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Bihar,2021,3517.0,3534.0,2021-12-31,rs_session_262_annexure_iv_2021,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Bihar,2022,3953.0,3063.0,2022-12-31,rs_session_262_annexure_iv_2022,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Chhattisgarh,2020,1390.0,3075.0,2020-12-31,rs_session_262_annexure_iv_2020,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Chhattisgarh,2021,1663.0,2906.0,2021-12-31,rs_session_262_annexure_iv_2021,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Chhattisgarh,2022,1885.0,3400.0,2022-12-31,rs_session_262_annexure_iv_2022,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Goa,2020,61.0,262.0,2020-12-31,rs_session_262_annexure_iv_2020,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Goa,2021,83.0,228.0,2021-12-31,rs_session_262_annexure_iv_2021,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Goa,2022,127.0,327.0,2022-12-31,rs_session_262_annexure_iv_2022,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Gujarat,2020,1797.0,2760.0,2020-12-31,rs_session_262_annexure_iv_2020,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Gujarat,2021,2077.0,2781.0,2021-12-31,rs_session_262_annexure_iv_2021,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Gujarat,2022,2109.0,3228.0,2022-12-31,rs_session_262_annexure_iv_2022,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Haryana,2020,1663.0,2387.0,2020-12-31,rs_session_262_annexure_iv_2020,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Haryana,2021,1766.0,2514.0,2021-12-31,rs_session_262_annexure_iv_2021,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Haryana,2022,2038.0,3197.0,2022-12-31,rs_session_262_annexure_iv_2022,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Himachal Pradesh,2020,314.0,1592.0,2020-12-31,rs_session_262_annexure_iv_2020,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Himachal Pradesh,2021,425.0,1645.0,2021-12-31,rs_session_262_annexure_iv_2021,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Himachal Pradesh,2022,443.0,1983.0,2022-12-31,rs_session_262_annexure_iv_2022,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Jharkhand,2020,1241.0,1230.0,2020-12-31,rs_session_262_annexure_iv_2020,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Jharkhand,2021,1496.0,1138.0,2021-12-31,rs_session_262_annexure_iv_2021,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Jharkhand,2022,1699.0,1410.0,2022-12-31,rs_session_262_annexure_iv_2022,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Karnataka,2020,3330.0,13131.0,2020-12-31,rs_session_262_annexure_iv_2020,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Karnataka,2021,3487.0,13229.0,2021-12-31,rs_session_262_annexure_iv_2021,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Karnataka,2022,4164.0,16337.0,2022-12-31,rs_session_262_annexure_iv_2022,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Kerala,2020,887.0,7354.0,2020-12-31,rs_session_262_annexure_iv_2020,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Kerala,2021,975.0,8984.0,2021-12-31,rs_session_262_annexure_iv_2021,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Kerala,2022,1197.0,17799.0,2022-12-31,rs_session_262_annexure_iv_2022,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Madhya Pradesh,2020,3022.0,9714.0,2020-12-31,rs_session_262_annexure_iv_2020,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Madhya Pradesh,2021,3389.0,10468.0,2021-12-31,rs_session_262_annexure_iv_2021,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Madhya Pradesh,2022,4025.0,13911.0,2022-12-31,rs_session_262_annexure_iv_2022,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Maharashtra,2020,3528.0,5253.0,2020-12-31,rs_session_262_annexure_iv_2020,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Maharashtra,2021,4080.0,5901.0,2021-12-31,rs_session_262_annexure_iv_2021,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Maharashtra,2022,4923.0,8174.0,2022-12-31,rs_session_262_annexure_iv_2022,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Manipur,2020,90.0,401.0,2020-12-31,rs_session_262_annexure_iv_2020,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Manipur,2021,77.0,320.0,2021-12-31,rs_session_262_annexure_iv_2021,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Manipur,2022,74.0,466.0,2022-12-31,rs_session_262_annexure_iv_2022,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Meghalaya,2020,81.0,160.0,2020-12-31,rs_session_262_annexure_iv_2020,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Meghalaya,2021,112.0,175.0,2021-12-31,rs_session_262_annexure_iv_2021,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Meghalaya,2022,98.0,204.0,2022-12-31,rs_session_262_annexure_iv_2022,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Mizoram,2020,20.0,26.0,2020-12-31,rs_session_262_annexure_iv_2020,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Mizoram,2021,23.0,27.0,2021-12-31,rs_session_262_annexure_iv_2021,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Mizoram,2022,72.0,59.0,2022-12-31,rs_session_262_annexure_iv_2022,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Nagaland,2020,29.0,168.0,2020-12-31,rs_session_262_annexure_iv_2020,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Nagaland,2021,25.0,240.0,2021-12-31,rs_session_262_annexure_iv_2021,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Nagaland,2022,55.0,192.0,2022-12-31,rs_session_262_annexure_iv_2022,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Odisha,2020,1781.0,3421.0,2020-12-31,rs_session_262_annexure_iv_2020,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Odisha,2021,1933.0,3520.0,2021-12-31,rs_session_262_annexure_iv_2021,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Odisha,2022,2043.0,3746.0,2022-12-31,rs_session_262_annexure_iv_2022,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Punjab,2020,1492.0,974.0,2020-12-31,rs_session_262_annexure_iv_2020,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Punjab,2021,1950.0,1100.0,2021-12-31,rs_session_262_annexure_iv_2021,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Punjab,2022,1881.0,1172.0,2022-12-31,rs_session_262_annexure_iv_2022,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Rajasthan,2020,3320.0,5096.0,2020-12-31,rs_session_262_annexure_iv_2020,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Rajasthan,2021,3829.0,6065.0,2021-12-31,rs_session_262_annexure_iv_2021,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Rajasthan,2022,4156.0,6924.0,2022-12-31,rs_session_262_annexure_iv_2022,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Sikkim,2020,14.0,61.0,2020-12-31,rs_session_262_annexure_iv_2020,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Sikkim,2021,23.0,110.0,2021-12-31,rs_session_262_annexure_iv_2021,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Sikkim,2022,27.0,166.0,2022-12-31,rs_session_262_annexure_iv_2022,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Tamil Nadu,2020,5454.0,17635.0,2020-12-31,rs_session_262_annexure_iv_2020,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Tamil Nadu,2021,5263.0,17596.0,2021-12-31,rs_session_262_annexure_iv_2021,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Tamil Nadu,2022,5978.0,21138.0,2022-12-31,rs_session_262_annexure_iv_2022,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Telangana,2020,2620.0,6649.0,2020-12-31,rs_session_262_annexure_iv_2020,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Telangana,2021,2735.0,6916.0,2021-12-31,rs_session_262_annexure_iv_2021,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Telangana,2022,3010.0,6949.0,2022-12-31,rs_session_262_annexure_iv_2022,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Tripura,2020,78.0,182.0,2020-12-31,rs_session_262_annexure_iv_2020,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Tripura,2021,94.0,207.0,2021-12-31,rs_session_262_annexure_iv_2021,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Tripura,2022,105.0,224.0,2022-12-31,rs_session_262_annexure_iv_2022,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Uttarakhand,2020,365.0,402.0,2020-12-31,rs_session_262_annexure_iv_2020,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Uttarakhand,2021,430.0,546.0,2021-12-31,rs_session_262_annexure_iv_2021,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Uttarakhand,2022,545.0,908.0,2022-12-31,rs_session_262_annexure_iv_2022,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Uttar Pradesh,2020,7859.0,8986.0,2020-12-31,rs_session_262_annexure_iv_2020,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Uttar Pradesh,2021,8506.0,9512.0,2021-12-31,rs_session_262_annexure_iv_2021,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Uttar Pradesh,2022,8479.0,10195.0,2022-12-31,rs_session_262_annexure_iv_2022,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
West Bengal,2020,1826.0,3259.0,2020-12-31,rs_session_262_annexure_iv_2020,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
West Bengal,2021,2177.0,3570.0,2021-12-31,rs_session_262_annexure_iv_2021,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
West Bengal,2022,2017.0,3927.0,2022-12-31,rs_session_262_annexure_iv_2022,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
Andaman and Nicobar Islands,2020,8.0,55.0,2020-12-31,rs_session_262_annexure_iv_2020,"State-wise details of road accidents, fatalities and injuries on National Highways including National Expressways",https://data.gov.in/sites/default/files/RS_Session_262_AS_120_A_to_D_iv.csv
