state,year,metric_name,metric_value,unit,document_section,citation_anchor,source_as_of_date
Andhra Pradesh,2024-25,appendix2_statewise_nh_count,55.0,count,appendix_2,appendix-2-page-123,2024-12-31
Andhra Pradesh,2024-25,appendix2_statewise_nh_length_km,8683.0,km,appendix_2,appendix-2-page-123,2024-12-31
Arunachal Pradesh,2024-25,appendix2_statewise_nh_count,14.0,count,appendix_2,appendix-2-page-123,2024-12-31
Arunachal Pradesh,2024-25,appendix2_statewise_nh_length_km,4367.0,km,appendix_2,appendix-2-page-123,2024-12-31
Assam,2024-25,appendix2_statewise_nh_count,38.0,count,appendix_2,appendix-2-page-123,2024-12-31
Assam,2024-25,appendix2_statewise_nh_length_km,4077.0,km,appendix_2,appendix-2-page-123,2024-12-31
Bihar,2024-25,appendix2_statewise_nh_count,56.0,count,appendix_2,appendix-2-page-123,2024-12-31
Bihar,2024-25,appendix2_statewise_nh_length_km,6132.0,km,appendix_2,appendix-2-page-123,2024-12-31
Chandigarh,2024-25,appendix2_statewise_nh_count,1.0,count,appendix_2,appendix-2-page-123,2024-12-31
Chandigarh,2024-25,appendix2_statewise_nh_length_km,15.0,km,appendix_2,appendix-2-page-123,2024-12-31
Chhattisgarh,2024-25,appendix2_statewise_nh_count,20.0,count,appendix_2,appendix-2-page-123,2024-12-31
Chhattisgarh,2024-25,appendix2_statewise_nh_length_km,3620.0,km,appendix_2,appendix-2-page-123,2024-12-31
Delhi,2024-25,appendix2_statewise_nh_count,12.0,count,appendix_2,appendix-2-page-123,2024-12-31
Delhi,2024-25,appendix2_statewise_nh_length_km,157.0,km,appendix_2,appendix-2-page-123,2024-12-31
Goa,2024-25,appendix2_statewise_nh_count,6.0,count,appendix_2,appendix-2-page-123,2024-12-31
Goa,2024-25,appendix2_statewise_nh_length_km,299.0,km,appendix_2,appendix-2-page-123,2024-12-31
Gujarat,2024-25,appendix2_statewise_nh_count,45.0,count,appendix_2,appendix-2-page-124,2024-12-31
Gujarat,2024-25,appendix2_statewise_nh_length_km,8111.0,km,appendix_2,appendix-2-page-124,2024-12-31
Haryana,2024-25,appendix2_statewise_nh_count,39.0,count,appendix_2,appendix-2-page-124,2024-12-31
Haryana,2024-25,appendix2_statewise_nh_length_km,3347.0,km,appendix_2,appendix-2-page-124,2024-12-31
Himachal Pradesh,2024-25,appendix2_statewise_nh_count,19.0,count,appendix_2,appendix-2-page-124,2024-12-31
Himachal Pradesh,2024-25,appendix2_statewise_nh_length_km,2607.0,km,appendix_2,appendix-2-page-124,2024-12-31
Jammu and Kashmir,2024-25,appendix2_statewise_nh_count,11.0,count,appendix_2,appendix-2-page-124,2024-12-31
Jammu and Kashmir,2024-25,appendix2_statewise_nh_length_km,1935.0,km,appendix_2,appendix-2-page-124,2024-12-31
Jharkhand,2024-25,appendix2_statewise_nh_count,32.0,count,appendix_2,appendix-2-page-124,2024-12-31
Jharkhand,2024-25,appendix2_statewise_nh_length_km,3633.0,km,appendix_2,appendix-2-page-124,2024-12-31
Karnataka,2024-25,appendix2_statewise_nh_count,49.0,count,appendix_2,appendix-2-page-124,2024-12-31
Karnataka,2024-25,appendix2_statewise_nh_length_km,8191.0,km,appendix_2,appendix-2-page-124,2024-12-31
Kerala,2024-25,appendix2_statewise_nh_count,12.0,count,appendix_2,appendix-2-page-124,2024-12-31
Kerala,2024-25,appendix2_statewise_nh_length_km,1858.0,km,appendix_2,appendix-2-page-124,2024-12-31
Ladakh,2024-25,appendix2_statewise_nh_count,3.0,count,appendix_2,appendix-2-page-124,2024-12-31
Ladakh,2024-25,appendix2_statewise_nh_length_km,806.0,km,appendix_2,appendix-2-page-124,2024-12-31
Madhya Pradesh,2024-25,appendix2_statewise_nh_count,47.0,count,appendix_2,appendix-2-page-124,2024-12-31
Madhya Pradesh,2024-25,appendix2_statewise_nh_length_km,9160.0,km,appendix_2,appendix-2-page-124,2024-12-31
Maharashtra,2024-25,appendix2_statewise_nh_count,102.0,count,appendix_2,appendix-2-page-125,2024-12-31
Maharashtra,2024-25,appendix2_statewise_nh_length_km,18462.0,km,appendix_2,appendix-2-page-125,2024-12-31
Manipur,2024-25,appendix2_statewise_nh_count,11.0,count,appendix_2,appendix-2-page-125,2024-12-31
Manipur,2024-25,appendix2_statewise_nh_length_km,1840.0,km,appendix_2,appendix-2-page-125,2024-12-31
Meghalaya,2024-25,appendix2_statewise_nh_count,5.0,count,appendix_2,appendix-2-page-125,2024-12-31
Meghalaya,2024-25,appendix2_statewise_nh_length_km,1156.0,km,appendix_2,appendix-2-page-125,2024-12-31
Mizoram,2024-25,appendix2_statewise_nh_count,9.0,count,appendix_2,appendix-2-page-125,2024-12-31
Mizoram,2024-25,appendix2_statewise_nh_length_km,1499.0,km,appendix_2,appendix-2-page-125,2024-12-31
Nagaland,2024-25,appendix2_statewise_nh_count,12.0,count,appendix_2,appendix-2-page-125,2024-12-31
