state,nh_blackspots,nh_blackspot_accidents,nh_blackspot_fatalities,rectified_blackspots,source_as_of_date,citation_anchor,document_section,source_url,reference_period
Andhra Pradesh,466,2202,1273,404,2020-12-31,au3188_annexure,State-wise details of accidents/fatalities on identified blackspots on National Highways,https://sansad.in/getFile/loksabhaquestions/annex/1714/AU3188.pdf?source=pqals,2018-2020 accident data; reply dated 2023-12-21
Arunachal Pradesh,5,31,12,5,2020-12-31,au3188_annexure,State-wise details of accidents/fatalities on identified blackspots on National Highways,https://sansad.in/getFile/loksabhaquestions/annex/1714/AU3188.pdf?source=pqals,2018-2020 accident data; reply dated 2023-12-21
Chandigarh,6,44,28,0,2020-12-31,au3188_annexure,State-wise details of accidents/fatalities on identified blackspots on National Highways,https://sansad.in/getFile/loksabhaquestions/annex/1714/AU3188.pdf?source=pqals,2018-2020 accident data; reply dated 2023-12-21
Goa,29,76,50,9,2020-12-31,au3188_annexure,State-wise details of accidents/fatalities on identified blackspots on National Highways,https://sansad.in/getFile/loksabhaquestions/annex/1714/AU3188.pdf?source=pqals,2018-2020 accident data; reply dated 2023-12-21
Gujarat,250,1425,1066,153,2020-12-31,au3188_annexure,State-wise details of accidents/fatalities on identified blackspots on National Highways,https://sansad.in/getFile/loksabhaquestions/annex/1714/AU3188.pdf?source=pqals,2018-2020 accident data; reply dated 2023-12-21
Haryana,23,210,169,21,2020-12-31,au3188_annexure,State-wise details of accidents/fatalities on identified blackspots on National Highways,https://sansad.in/getFile/loksabhaquestions/annex/1714/AU3188.pdf?source=pqals,2018-2020 accident data; reply dated 2023-12-21
Himachal Pradesh,116,420,166,87,2020-12-31,au3188_annexure,State-wise details of accidents/fatalities on identified blackspots on National Highways,https://sansad.in/getFile/loksabhaquestions/annex/1714/AU3188.pdf?source=pqals,2018-2020 accident data; reply dated 2023-12-21
Manipur,5,18,2,5,2020-12-31,au3188_annexure,State-wise details of accidents/fatalities on identified blackspots on National Highways,https://sansad.in/getFile/loksabhaquestions/annex/1714/AU3188.pdf?source=pqals,2018-2020 accident data; reply dated 2023-12-21
Meghalaya,1,3,4,0,2020-12-31,au3188_annexure,State-wise details of accidents/fatalities on identified blackspots on National Highways,https://sansad.in/getFile/loksabhaquestions/annex/1714/AU3188.pdf?source=pqals,2018-2020 accident data; reply dated 2023-12-21
Madhya Pradesh,303,1302,698,217,2020-12-31,au3188_annexure,State-wise details of accidents/fatalities on identified blackspots on National Highways,https://sansad.in/getFile/loksabhaquestions/annex/1714/AU3188.pdf?source=pqals,2018-2020 accident data; reply dated 2023-12-21
Nagaland,17,51,1,17,2020-12-31,au3188_annexure,State-wise details of accidents/fatalities on identified blackspots on National Highways,https://sansad.in/getFile/loksabhaquestions/annex/1714/AU3188.pdf?source=pqals,2018-2020 accident data; reply dated 2023-12-21
Punjab,296,775,573,222,2020-12-31,au3188_annexure,State-wise details of accidents/fatalities on identified blackspots on National Highways,https://sansad.in/getFile/loksabhaquestions/annex/1714/AU3188.pdf?source=pqals,2018-2020 accident data; reply dated 2023-12-21
Rajasthan,349,1869,1146,247,2020-12-31,au3188_annexure,State-wise details of accidents/fatalities on identified blackspots on National Highways,https://sansad.in/getFile/loksabhaquestions/annex/1714/AU3188.pdf?source=pqals,2018-2020 accident data; reply dated 2023-12-21
Tamil Nadu,748,6230,2144,364,2020-12-31,au3188_annexure,State-wise details of accidents/fatalities on identified blackspots on National Highways,https://sansad.in/getFile/loksabhaquestions/annex/1714/AU3188.pdf?source=pqals,2018-2020 accident data; reply dated 2023-12-21
Uttarakhand,54,239,258,42,2020-12-31,au3188_annexure,State-wise details of accidents/fatalities on identified blackspots on National Highways,https://sansad.in/getFile/loksabhaquestions/annex/1714/AU3188.pdf?source=pqals,2018-2020 accident data; reply dated 2023-12-21
West Bengal,701,3572,1990,539,2020-12-31,au3188_annexure,State-wise details of accidents/fatalities on identified blackspots on National Highways,https://sansad.in/getFile/loksabhaquestions/annex/1714/AU3188.pdf?source=pqals,2018-2020 accident data; reply dated 2023-12-21
Bihar,64,464,429,9,2020-12-31,au3188_annexure,State-wise details of accidents/fatalities on identified blackspots on National Highways,https://sansad.in/getFile/loksabhaquestions/annex/1714/AU3188.pdf?source=pqals,2018-2020 accident data; reply dated 2023-12-21
Delhi,113,1651,524,29,2020-12-31,au3188_annexure,State-wise details of accidents/fatalities on identified blackspots on National Highways,https://sansad.in/getFile/loksabhaquestions/annex/1714/AU3188.pdf?source=pqals,2018-2020 accident data; reply dated 2023-12-21
Karnataka,551,4110,1694,367,2020-12-31,au3188_annexure,State-wise details of accidents/fatalities on identified blackspots on National Highways,https://sansad.in/getFile/loksabhaquestions/annex/1714/AU3188.pdf?source=pqals,2018-2020 accident data; reply dated 2023-12-21
Jammu & Kashmir,64,418,120,47,2020-12-31,au3188_annexure,State-wise details of accidents/fatalities on identified blackspots on National Highways,https://sansad.in/getFile/loksabhaquestions/annex/1714/AU3188.pdf?source=pqals,2018-2020 accident data; reply dated 2023-12-21
Maharashtra,25,69,47,21,2020-12-31,au3188_annexure,State-wise details of accidents/fatalities on identified blackspots on National Highways,https://sansad.in/getFile/loksabhaquestions/annex/1714/AU3188.pdf?source=pqals,2018-2020 accident data; reply dated 2023-12-21
Telangana,485,3965,1672,422,2020-12-31,au3188_annexure,State-wise details of accidents/fatalities on identified blackspots on National Highways,https://sansad.in/getFile/loksabhaquestions/annex/1714/AU3188.pdf?source=pqals,2018-2020 accident data; reply dated 2023-12-21
Tripura,9,83,30,9,2020-12-31,au3188_annexure,State-wise details of accidents/fatalities on identified blackspots on National Highways,https://sansad.in/getFile/loksabhaquestions/annex/1714/AU3188.pdf?source=pqals,2018-2020 accident data; reply dated 2023-12-21
Jharkhand,58,174,140,43,2020-12-31,au3188_annexure,State-wise details of accidents/fatalities on identified blackspots on National Highways,https://sansad.in/getFile/loksabhaquestions/annex/1714/AU3188.pdf?source=pqals,2018-2020 accident data; reply dated 2023-12-21
Chhattisgarh,142,510,389,125,2020-12-31,au3188_annexure,State-wise details of accidents/fatalities on identified blackspots on National Highways,https://sansad.in/getFile/loksabhaquestions/annex/1714/AU3188.pdf?source=pqals,2018-2020 accident data; reply dated 2023-12-21
Mizoram,1,6,7,1,2020-12-31,au3188_annexure,State-wise details of accidents/fatalities on identified blackspots on National Highways,https://sansad.in/getFile/loksabhaquestions/annex/1714/AU3188.pdf?source=pqals,2018-2020 accident data; reply dated 2023-12-21
Kerala,243,5151,656,57,2020-12-31,au3188_annexure,State-wise details of accidents/fatalities on identified blackspots on National Highways,https://sansad.in/getFile/loksabhaquestions/annex/1714/AU3188.pdf?source=pqals,2018-2020 accident data; reply dated 2023-12-21
Assam,95,436,304,47,2020-12-31,au3188_annexure,State-wise details of accidents/fatalities on identified blackspots on National Highways,https://sansad.in/getFile/loksabhaquestions/annex/1714/AU3188.pdf?source=pqals,2018-2020 accident data; reply dated 2023-12-21
Odisha,169,1066,553,148,2020-12-31,au3188_annexure,State-wise details of accidents/fatalities on identified blackspots on National Highways,https://sansad.in/getFile/loksabhaquestions/annex/1714/AU3188.pdf?source=pqals,2018-2020 accident data; reply dated 2023-12-21
Uttar Pradesh,405,3344,2325,305,2020-12-31,au3188_annexure,State-wise details of accidents/fatalities on identified blackspots on National Highways,https://sansad.in/getFile/loksabhaquestions/annex/1714/AU3188.pdf?source=pqals,2018-2020 accident data; reply dated 2023-12-21
Sikkim,10,30,6,10,2020-12-31,au3188_annexure,State-wise details of accidents/fatalities on identified blackspots on National Highways,https://sansad.in/getFile/loksabhaquestions/annex/1714/AU3188.pdf?source=pqals,2018-2020 accident data; reply dated 2023-12-21
Total,5803,39944,18476,3972,2020-12-31,au3188_annexure,State-wise details of accidents/fatalities on identified blackspots on National Highways,https://sansad.in/getFile/loksabhaquestions/annex/1714/AU3188.pdf?source=pqals,2018-2020 accident data; reply dated 2023-12-21
